breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,MP120dep,MP120ac,MP120top,MP120top_pct,P210dep,P210ac,P210top,P210top_pct,P365dep,P365ac,P365top,P365top_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Tabapuã,GER 5694,10/08,5694 DA COPAC.,,TABA R2816,70,GER 5694 10/08 5694 DA COPAC. TABA R2816 2.00 14 9% 3.78 34 12% 4.82 26 14% 10.72 35 7% 2.43 49 2% 18 1 26.03 13 2%,2.0,14,9%,9.0,3.78,34,12%,12.0,4.82,26,14%,14.0,10.72,35,7%,7.0,2.43,49,2%,2.0,26.03,13,2%,2.0,"MP120,P210,P365,P450,PE365,MGTe"
Tabapuã,GER 5035,11/06,5035 DA,,COPAC. A130,70,GER 5035 11/06 5035 DA COPAC. A130 2.33 18 5% 7.02 42 3% 8.75 31 4% 9.51 61 9% 0.36 68 13% 96 1 15.11 18 12%,2.33,18,5%,5.0,7.02,42,3%,3.0,8.75,31,4%,4.0,9.51,61,9%,9.0,0.36,68,13%,13.0,15.11,18,12%,12.0,"MP120,P210,P365,P450,PE365,MGTe"
Tabapuã,TROA 2561,08/15,BALANCETE TRO,,TABA R2816,70,TROA 2561 08/15 BALANCETE TRO TABA R2816 1.62 17 17% 1.01 50 33% 6.12 52 9% 7.75 51 14% 0.94 49 5% 128 3 23.70 16 3%,1.62,17,17%,17.0,1.01,50,33%,33.0,6.12,52,9%,9.0,7.75,51,14%,14.0,0.94,49,5%,5.0,23.7,16,3%,3.0,"MP120,P210,P365,P450,PE365,MGTe"
Tabapuã,NGT 507,01/09,DOBRADO FIV DA NGT,G,FEP 1034,70,NGT 507 01/09 DOBRADO FIV DA NGT G FEP 1034 1.73 32 14% 3.91 41 11% -7.46 45 100% 7.16 44 16% -0.28 35 86% 10 2 21.59 32 4%,1.73,32,14%,14.0,3.91,41,11%,11.0,-7.46,45,100%,100.0,7.16,44,16%,16.0,-0.28,35,86%,86.0,21.59,32,4%,4.0,"MP120,P210,P365,P450,PE365,MGTe"
Tabapuã,ALD 2105,01/14,VERISSIMO DO COCA,G,ALD 1119,70,ALD 2105 01/14 VERISSIMO DO COCA G ALD 1119 -0.39 50 97% 4.10 50 11% 1.25 43 39% 6.81 44 17% -0.53 41 100% 14 1 12.98 38 16%,-0.39,50,97%,97.0,4.1,50,11%,11.0,1.25,43,39%,39.0,6.81,44,17%,17.0,-0.53,41,100%,100.0,12.98,38,16%,16.0,"MP120,P210,P365,P450,PE365,MGTe"
Tabapuã,DORN 368,08/07,CORONEL DA DORN,,NYFP 4183,70,DORN 368 08/07 CORONEL DA DORN NYFP 4183 -0.69 13 99% 4.99 26 7% 5.58 16 11% 6.68 32 17% 0.31 44 15% 27 1 13.69 4 14%,-0.69,13,99%,99.0,4.99,26,7%,7.0,5.58,16,11%,11.0,6.68,32,17%,17.0,0.31,44,15%,15.0,13.69,4,14%,14.0,"MP120,P210,P365,P450,PE365,MGTe"
Tabapuã,FHPS 77,11/15,BRINQUEDO MURO DE PED,G,MBF 3413,70,FHPS 77 11/15 BRINQUEDO MURO DE PED G MBF 3413 1.41 39 22% 2.00 42 23% -4.52 49 99% 6.64 48 17% -0.21 51 77% 4 1 13.44 32 15%,1.41,39,22%,22.0,2.0,42,23%,23.0,-4.52,49,99%,99.0,6.64,48,17%,17.0,-0.21,51,77%,77.0,13.44,32,15%,15.0,"MP120,P210,P365,P450,PE365,MGTe"
Tabapuã,CCTA 1041,03/10,CIPOAL CCC,,CCCC 1987,70,CCTA 1041 03/10 CIPOAL CCC CCCC 1987 0.86 10 39% 2.85 15 17% 4.85 14 14% 6.00 56 19% 0.14 45 27% 34 2 8.67 8 25%,0.86,10,39%,39.0,2.85,15,17%,17.0,4.85,14,14%,14.0,6.0,56,19%,19.0,0.14,45,27%,27.0,8.67,8,25%,25.0,"MP120,P210,P365,P450,PE365,MGTe"
Tabapuã,LIA 659,05/08,CANDADO FIV DA,,LIAB 1255,70,LIA 659 05/08 CANDADO FIV DA LIAB 1255 2.23 25 6% 2.65 42 18% 2.86 35 24% 5.55 32 20% 0.61 57 8% 46 5 16.08 20 10%,2.23,25,6%,6.0,2.65,42,18%,18.0,2.86,35,24%,24.0,5.55,32,20%,20.0,0.61,57,8%,8.0,16.08,20,10%,10.0,"MP120,P210,P365,P450,PE365,MGTe"
Tabapuã,GER 5284,10/07,IMPERADOR DA COPAC.,,LVRT 797,70,GER 5284 10/07 IMPERADOR DA COPAC. LVRT 797 2.18 10 6% 0.05 42 55% 1.67 30 34% 5.38 47 21% -0.09 63 59% 59 3 10.03 10 22%,2.18,10,6%,6.0,0.05,42,55%,55.0,1.67,30,34%,34.0,5.38,47,21%,21.0,-0.09,63,59%,59.0,10.03,10,22%,22.0,"MP120,P210,P365,P450,PE365,MGTe"
Tabapuã,PRT 5229,08/06,NAUÃƒ DA PRATA,G,PRT 4450,70,PRT 5229 08/06 NAUÃƒ DA PRATA G PRT 4450 1.85 49 11% 4.09 51 11% 2.88 43 24% 5.32 40 21% 0.96 51 5% 4 1 23.40 40 3%,1.85,49,11%,11.0,4.09,51,11%,11.0,2.88,43,24%,24.0,5.32,40,21%,21.0,0.96,51,5%,5.0,23.4,40,3%,3.0,"MP120,P210,P365,P450,PE365,MGTe"
Tabapuã,JCVZ 10,12/07,MAJESTOSO FIV,G,TABA R2198,70,JCVZ 10 12/07 MAJESTOSO FIV G TABA R2198 0.48 38 58% 5.47 46 6% 7.83 44 5% 5.17 42 22% 0.21 47 20% 30 1 12.66 38 16%,0.48,38,58%,58.0,5.47,46,6%,6.0,7.83,44,5%,5.0,5.17,42,22%,22.0,0.21,47,20%,20.0,12.66,38,16%,16.0,"MP120,P210,P365,P450,PE365,MGTe"
Tabapuã,TJG 1015,10/16,HASTIL TJG,G,PRTA 325,70,TJG 1015 10/16 HASTIL TJG G PRTA 325 0.11 50 84% 2.27 39 21% 1.84 44 32% 4.38 43 26% 0.54 40 9% 27 1 19.05 32 6%,0.11,50,84%,84.0,2.27,39,21%,21.0,1.84,44,32%,32.0,4.38,43,26%,26.0,0.54,40,9%,9.0,19.05,32,6%,6.0,"MP120,P210,P365,P450,PE365,MGTe"
