breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,P450dep,P450ac,P450top,P450top_pct,CARdep,CARac,CARtop,CARtop_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,ACABdep,ACABac,ACABtop,ACABtop_pct,MARdep,MARac,MARtop,MARtop_pct,MGTe_F1dep,MGTe_F1ac,MGTe_F1top,MGTe_F1top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,FANO 2523,11/19,DONALD DA AGRONOVA,G,MATI 1788,18,"FANO 2523 11/19 DONALD DA AGRONOVA G MATI 1788 24.96 85 11% -0.099 56 8% 5.28 77 2% 1.19 74 1% 0.21 71 1% 33.79 56 0,1% 31.10 50 3%",24.96,85,11%,11.0,-0.099,56,8%,8.0,5.28,77,2%,2.0,1.19,74,1%,1.0,0.21,71,1%,1.0,33.79,56,"0,1%",0.1,31.1,50,3%,3.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,FANO 3542,02/21,EPITACIO DA AGRONOVA,G,ACNP 3146,18,"FANO 3542 02/21 EPITACIO DA AGRONOVA G ACNP 3146 45.29 71 0,1% -0.190 59 0,1% 7.01 71 0,1% 0.46 69 10% 0.11 68 8% 33.38 59 0,1% 38.08 49 0,1%",45.29,71,"0,1%",0.1,-0.19,59,"0,1%",0.1,7.01,71,"0,1%",0.1,0.46,69,10%,10.0,0.11,68,8%,8.0,33.38,59,"0,1%",0.1,38.08,49,"0,1%",0.1,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,EAO B4381,08/20,DUCATTI DA EAO,G,REM A1936,18,"EAO B4381 08/20 DUCATTI DA EAO G REM A1936 29.47 83 5% -0.100 46 8% 5.62 71 2% 1.19 70 1% 0.10 59 9% 32.90 46 0,5% 28.64 33 5%",29.47,83,5%,5.0,-0.1,46,8%,8.0,5.62,71,2%,2.0,1.19,70,1%,1.0,0.1,59,9%,9.0,32.9,46,"0,5%",0.5,28.64,33,5%,5.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,EAO B4051,07/20,D8 DA EAO,G,REM A7,18,"EAO B4051 07/20 D8 DA EAO G REM A7 27.03 95 8% -0.043 76 40% 3.83 90 8% 1.32 90 0,5% 0.29 91 0,1% 32.81 76 0,5% 31.99 47 3%",27.03,95,8%,8.0,-0.043,76,40%,40.0,3.83,90,8%,8.0,1.32,90,"0,5%",0.5,0.29,91,"0,1%",0.1,32.81,76,"0,5%",0.5,31.99,47,3%,3.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,FLPE 8552,10/21,APEROL FIV DA COMETA,G,JHVM 17499,18,"FLPE 8552 10/21 APEROL FIV DA COMETA G JHVM 17499 17.18 60 25% -0.032 46 47% 2.40 58 19% 1.98 57 0,1% 0.15 51 4% 32.64 46 0,5% 20.83 40 17%",17.18,60,25%,25.0,-0.032,46,47%,47.0,2.4,58,19%,19.0,1.98,57,"0,1%",0.1,0.15,51,4%,4.0,32.64,46,"0,5%",0.5,20.83,40,17%,17.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,EAO B8886,01/22,EMBAIXADOR FIV EAO,G,REM A1576,18,"EAO B8886 01/22 EMBAIXADOR FIV EAO G REM A1576 35.83 70 2% -0.010 50 61% 7.54 68 0,1% 1.02 68 2% 0.11 62 8% 32.53 50 0,5% 36.56 47 0,1%",35.83,70,2%,2.0,-0.01,50,61%,61.0,7.54,68,"0,1%",0.1,1.02,68,2%,2.0,0.11,62,8%,8.0,32.53,50,"0,5%",0.5,36.56,47,"0,1%",0.1,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,JAPA 11028,12/21,11028 FIV JAPARANDUBA,G,SINO 1730,18,"JAPA 11028 12/21 11028 FIV JAPARANDUBA G SINO 1730 37.69 69 1% -0.183 48 0,5% 7.04 66 0,1% 0.39 65 12% 0.17 61 3% 32.40 48 0,5% 34.55 50 1%",37.69,69,1%,1.0,-0.183,48,"0,5%",0.5,7.04,66,"0,1%",0.1,0.39,65,12%,12.0,0.17,61,3%,3.0,32.4,48,"0,5%",0.5,34.55,50,1%,1.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,FANO 2491,11/19,DOUSE DA AGRONOVA,G,REMC A331,18,"FANO 2491 11/19 DOUSE DA AGRONOVA G REMC A331 30.76 79 4% -0.150 69 1% 7.98 80 0,1% 0.53 77 8% 0.13 77 5% 32.34 69 0,5% 35.29 51 0,5%",30.76,79,4%,4.0,-0.15,69,1%,1.0,7.98,80,"0,1%",0.1,0.53,77,8%,8.0,0.13,77,5%,5.0,32.34,69,"0,5%",0.5,35.29,51,"0,5%",0.5,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,RDM A3560,07/20,FEDERAL MAT.,G,REMC 8332,18,"RDM A3560 07/20 FEDERAL MAT. G REMC 8332 36.49 67 1% -0.280 48 0,1% 6.07 65 1% 0.19 64 22% 0.20 61 2% 32.34 48 0,5% 31.92 47 3%",36.49,67,1%,1.0,-0.28,48,"0,1%",0.1,6.07,65,1%,1.0,0.19,64,22%,22.0,0.2,61,2%,2.0,32.34,48,"0,5%",0.5,31.92,47,3%,3.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,EAO B1789,08/19,1789 FIV DA EAO,G,LBMN D4685,18,"EAO B1789 08/19 1789 FIV DA EAO G LBMN D4685 30.21 88 5% -0.219 56 0,1% 4.62 85 4% 0.63 86 6% 0.24 85 0,5% 32.27 56 0,5% 28.83 51 5%",30.21,88,5%,5.0,-0.219,56,"0,1%",0.1,4.62,85,4%,4.0,0.63,86,6%,6.0,0.24,85,"0,5%",0.5,32.27,56,"0,5%",0.5,28.83,51,5%,5.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
