breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,MGTe_CRdep,MGTe_CRac,MGTe_CRtop,MGTe_CRtop_pct,MGTe_REdep,MGTe_REac,MGTe_REtop,MGTe_REtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Brahman,KDO 5021,08/18,MR. APOLO FIV K DE OR,G,BRCL 694,52,KDO 5021 08/18 MR. APOLO FIV K DE OR G BRCL 694 12.02 42 12% 18.62 40 4% 76 3 14.06 40 7%,12.02,42,12%,12.0,18.62,40,4%,4.0,14.06,40,7%,7.0,"MGTe_CR,MGTe_RE,MGTe"
Brahman,OBGP 4947,09/17,KEMBALI OB,G,OBGP 1193,52,OBGP 4947 09/17 KEMBALI OB G OBGP 1193 11.88 31 13% 16.38 48 6% 111 3 13.28 31 8%,11.88,31,13%,13.0,16.38,48,6%,6.0,13.28,31,8%,8.0,"MGTe_CR,MGTe_RE,MGTe"
Brahman,UBER 1540,08/16,MR UBER MARABA 1540,G,UBER 656,52,UBER 1540 08/16 MR UBER MARABA 1540 G UBER 656 10.68 41 17% 16.09 39 6% 54 4 12.29 39 11%,10.68,41,17%,17.0,16.09,39,6%,6.0,12.29,39,11%,11.0,"MGTe_CR,MGTe_RE,MGTe"
Brahman,UBER 1506,12/15,MR UBER JATOBA 1506,G,UBER 783,52,UBER 1506 12/15 MR UBER JATOBA 1506 G UBER 783 8.95 37 26% 19.20 40 3% 90 5 12.04 37 12%,8.95,37,26%,26.0,19.2,40,3%,3.0,12.04,37,12%,12.0,"MGTe_CR,MGTe_RE,MGTe"
Brahman,AMRO 806,11/12,MR BR 77 806 FIV,G,727046,52,AMRO 806 11/12 MR BR 77 806 FIV G 727046 10.77 45 17% 14.71 44 8% 254 8 12.03 44 12%,10.77,45,17%,17.0,14.71,44,8%,8.0,12.03,44,12%,12.0,"MGTe_CR,MGTe_RE,MGTe"
Brahman,940813,04/15,JDH SIR ELIAS MANSO 1,G,864762,52,940813 04/15 JDH SIR ELIAS MANSO 1 G 864762 8.31 42 30% 18.45 43 4% 28 3 11.41 42 14%,8.31,42,30%,30.0,18.45,43,4%,4.0,11.41,42,14%,14.0,"MGTe_CR,MGTe_RE,MGTe"
Brahman,OBGP 3777,12/13,ATICO OB,G,OMBD 114,52,OBGP 3777 12/13 ATICO OB G OMBD 114 9.94 43 20% 11.96 71 15% 333 3 10.80 43 16%,9.94,43,20%,20.0,11.96,71,15%,15.0,10.8,43,16%,16.0,"MGTe_CR,MGTe_RE,MGTe"
Brahman,AMRO 1392,05/16,MR BR 77 1392,G,864762,52,AMRO 1392 05/16 MR BR 77 1392 G 864762 10.76 44 17% 10.49 39 20% 136 4 10.79 39 16%,10.76,44,17%,17.0,10.49,39,20%,20.0,10.79,39,16%,16.0,"MGTe_CR,MGTe_RE,MGTe"
Brahman,AMRO 480,07/10,MR BR 77 480,G,AMRO 95,52,AMRO 480 07/10 MR BR 77 480 G AMRO 95 7.52 43 35% 17.67 38 5% 168 5 10.62 38 17%,7.52,43,35%,35.0,17.67,38,5%,5.0,10.62,38,17%,17.0,"MGTe_CR,MGTe_RE,MGTe"
Brahman,EAOH 775,08/08,NALTO TE DA EAO,G,2505,52,EAOH 775 08/08 NALTO TE DA EAO G 2505 14.89 43 5% -0.33 43 92% 36 2 10.40 43 18%,14.89,43,5%,5.0,-0.33,43,92%,92.0,10.4,43,18%,18.0,"MGTe_CR,MGTe_RE,MGTe"
Brahman,191151EE,09/19,191151 DE ESPIRITU,G,131146EE,52,191151EE 09/19 191151 DE ESPIRITU G 131146EE 9.57 45 22% 11.03 40 18% 31 1 10.09 40 19%,9.57,45,22%,22.0,11.03,40,18%,18.0,10.09,40,19%,19.0,"MGTe_CR,MGTe_RE,MGTe"
Brahman,UBER 461,10/09,MR UBER ARAGUAIA 461,G,UBER 153,52,UBER 461 10/09 MR UBER ARAGUAIA 461 G UBER 153 12.69 52 10% 2.68 73 75% 206 17 9.69 52 21%,12.69,52,10%,10.0,2.68,73,75%,75.0,9.69,52,21%,21.0,"MGTe_CR,MGTe_RE,MGTe"
