breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,P450dep,P450ac,P450top,P450top_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,ACABdep,ACABac,ACABtop,ACABtop_pct,MGTe_REdep,MGTe_REac,MGTe_REtop,MGTe_REtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,ALQ 2431,08/22,2431 ESALQ,G,REM A1576,17,"ALQ 2431 08/22 2431 ESALQ G REM A1576 37.37 70 1% 6.81 64 0,1% 0.77 63 4% 43.79 63 0,1% 33.15 39 2%",37.37,70,1%,1.0,6.81,64,"0,1%",0.1,0.77,63,4%,4.0,43.79,63,"0,1%",0.1,33.15,39,2%,2.0,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,REMC A3775,09/20,REM JUNCO GEN. ADT,G,REM A1936,17,"REMC A3775 09/20 REM JUNCO GEN. ADT G REM A1936 38.44 78 1% 6.89 72 0,1% 0.52 70 8% 43.73 70 0,1% 34.18 50 2%",38.44,78,1%,1.0,6.89,72,"0,1%",0.1,0.52,70,8%,8.0,43.73,70,"0,1%",0.1,34.18,50,2%,2.0,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,FANO 2995,09/20,ESTUDANTE DA AGRONOVA,G,FANO 1509,17,"FANO 2995 09/20 ESTUDANTE DA AGRONOVA G FANO 1509 45.27 81 0,1% 5.69 72 1% 0.26 70 18% 43.66 70 0,1% 37.68 47 0,1%",45.27,81,"0,1%",0.1,5.69,72,1%,1.0,0.26,70,18%,18.0,43.66,70,"0,1%",0.1,37.68,47,"0,1%",0.1,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,REMP 1416,07/21,REM PASSAPORTE FIV GE,G,REM A2239,17,"REMP 1416 07/21 REM PASSAPORTE FIV GE G REM A2239 42.33 91 0,1% 5.76 74 1% 0.62 71 6% 43.39 71 0,5% 35.38 44 0,5%",42.33,91,"0,1%",0.1,5.76,74,1%,1.0,0.62,71,6%,6.0,43.39,71,"0,5%",0.5,35.38,44,"0,5%",0.5,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,GCGC 442,07/22,COLISEU FIV GRUPO COS,G,REM A1936,17,"GCGC 442 07/22 COLISEU FIV GRUPO COS G REM A1936 41.44 69 0,1% 5.59 65 2% 0.86 65 3% 43.26 65 0,5% 37.74 43 0,1%",41.44,69,"0,1%",0.1,5.59,65,2%,2.0,0.86,65,3%,3.0,43.26,65,"0,5%",0.5,37.74,43,"0,1%",0.1,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,JAPA 11028,12/21,11028 FIV JAPARANDUBA,G,SINO 1730,17,"JAPA 11028 12/21 11028 FIV JAPARANDUBA G SINO 1730 37.69 69 1% 7.04 66 0,1% 0.39 65 12% 43.23 65 0,5% 34.55 50 1%",37.69,69,1%,1.0,7.04,66,"0,1%",0.1,0.39,65,12%,12.0,43.23,65,"0,5%",0.5,34.55,50,1%,1.0,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,VIV 5156,09/21,OMÃƒ FIV PRONEL,G,REM A1936,17,"VIV 5156 09/21 OMÃƒ FIV PRONEL G REM A1936 37.80 68 1% 6.15 64 1% 1.03 63 2% 43.20 63 0,5% 33.52 32 2%",37.8,68,1%,1.0,6.15,64,1%,1.0,1.03,63,2%,2.0,43.2,63,"0,5%",0.5,33.52,32,2%,2.0,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,FVC 15210,09/20,MIL FIV FVC,G,ACNP 3146,17,"FVC 15210 09/20 MIL FIV FVC G ACNP 3146 48.59 73 0,1% 5.08 68 3% 0.02 44 58% 43.18 44 0,5% 35.75 44 0,5%",48.59,73,"0,1%",0.1,5.08,68,3%,3.0,0.02,44,58%,58.0,43.18,44,"0,5%",0.5,35.75,44,"0,5%",0.5,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,ANP 1081,10/21,CORINGA DA ANP,G,REMP 816,17,"ANP 1081 10/21 CORINGA DA ANP G REMP 816 35.48 70 2% 6.32 67 0,5% 1.24 65 0,5% 43.01 65 0,5% 31.11 45 3%",35.48,70,2%,2.0,6.32,67,"0,5%",0.5,1.24,65,"0,5%",0.5,43.01,65,"0,5%",0.5,31.11,45,3%,3.0,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,XIKU 6965,06/20,FAVERO,G,REM A1576,17,"XIKU 6965 06/20 FAVERO G REM A1576 40.58 69 0,5% 6.01 66 1% 0.57 64 7% 42.82 64 0,5% 34.44 43 1%",40.58,69,"0,5%",0.5,6.01,66,1%,1.0,0.57,64,7%,7.0,42.82,64,"0,5%",0.5,34.44,43,1%,1.0,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,FLPE 8541,10/21,ANGICO FIV DA COMETA,G,REMP 816,17,"FLPE 8541 10/21 ANGICO FIV DA COMETA G REMP 816 37.51 71 1% 5.58 66 2% 1.37 65 0,5% 42.70 65 0,5% 32.03 46 3%",37.51,71,1%,1.0,5.58,66,2%,2.0,1.37,65,"0,5%",0.5,42.7,65,"0,5%",0.5,32.03,46,3%,3.0,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,FANO 3387,12/20,ECRAN DA AGRONOVA,G,RDM A83,17,"FANO 3387 12/20 ECRAN DA AGRONOVA G RDM A83 37.90 69 1% 7.00 68 0,1% 0.21 67 21% 42.60 67 0,5% 31.22 40 3%",37.9,69,1%,1.0,7.0,68,"0,1%",0.1,0.21,67,21%,21.0,42.6,67,"0,5%",0.5,31.22,40,3%,3.0,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,MCPJ 8878,10/22,XERIFE FIV JMP,G,REM 10447,17,"MCPJ 8878 10/22 XERIFE FIV JMP G REM 10447 43.11 71 0,1% 4.84 67 3% 0.91 64 2% 42.41 64 0,5% 36.67 44 0,1%",43.11,71,"0,1%",0.1,4.84,67,3%,3.0,0.91,64,2%,2.0,42.41,64,"0,5%",0.5,36.67,44,"0,1%",0.1,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,ANP 1101,10/21,CAPITÃƒO DA ANP,G,REMP 816,17,"ANP 1101 10/21 CAPITÃƒO DA ANP G REMP 816 34.01 68 2% 6.46 62 0,5% 1.22 62 1% 42.41 62 0,5% 30.19 30 4%",34.01,68,2%,2.0,6.46,62,"0,5%",0.5,1.22,62,1%,1.0,42.41,62,"0,5%",0.5,30.19,30,4%,4.0,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,HORA 6160,11/21,LOOP DA HORA,G,SINO 1730,17,"HORA 6160 11/21 LOOP DA HORA G SINO 1730 41.09 69 0,1% 4.94 63 3% 1.16 62 1% 42.39 62 0,5% 32.42 44 2%",41.09,69,"0,1%",0.1,4.94,63,3%,3.0,1.16,62,1%,1.0,42.39,62,"0,5%",0.5,32.42,44,2%,2.0,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,REMP 1425,07/21,REM LUTADOR FIV GEN.A,G,REM A2239,17,"REMP 1425 07/21 REM LUTADOR FIV GEN.A G REM A2239 35.20 67 2% 6.95 60 0,1% 0.64 61 6% 42.38 60 0,5% 32.36 42 2%",35.2,67,2%,2.0,6.95,60,"0,1%",0.1,0.64,61,6%,6.0,42.38,60,"0,5%",0.5,32.36,42,2%,2.0,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,REMQ 23,07/22,REM MAGISTRADO FIV GE,G,REM A1576,17,"REMQ 23 07/22 REM MAGISTRADO FIV GE G REM A1576 38.82 67 0,5% 5.67 62 2% 0.99 62 2% 42.36 62 0,5% 33.40 43 2%",38.82,67,"0,5%",0.5,5.67,62,2%,2.0,0.99,62,2%,2.0,42.36,62,"0,5%",0.5,33.4,43,2%,2.0,"P450,AOL,ACAB,MGTe_RE,MGTe"
