breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,P120dep,P120ac,P120top,P120top_pct,P210dep,P210ac,P210top,P210top_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Brahman,UBER 656,12/10,MR UBER POI 656,G,718788,57,"UBER 656 12/10 MR UBER POI 656 G 718788 -0.52 31 25% 10.43 59 0,1% 3.69 62 15% 8.60 60 22% 0.61 76 7% 188 7 18.42 31 1%",-0.52,31,25%,25.0,10.43,59,"0,1%",0.1,3.69,62,15%,15.0,8.6,60,22%,22.0,0.61,76,7%,7.0,18.42,31,1%,1.0,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,LIB 2056,10/17,CABANHA LIBRA,,2056 660295,57,LIB 2056 10/17 CABANHA LIBRA 2056 660295 -0.67 18 14% 3.33 37 19% 3.68 46 15% 10.43 11 14% 0.40 47 27% 83 1 11.19 11 15%,-0.67,18,14%,14.0,3.33,37,19%,19.0,3.68,46,15%,15.0,10.43,11,14%,14.0,0.4,47,27%,27.0,11.19,11,15%,15.0,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,UBER 401,02/09,MR UBER POI 401,G,718788,57,UBER 401 02/09 MR UBER POI 401 G 718788 -0.46 48 30% 3.16 56 20% 3.65 59 15% 10.19 63 15% 0.36 71 32% 119 9 15.23 48 5%,-0.46,48,30%,30.0,3.16,56,20%,20.0,3.65,59,15%,15.0,10.19,63,15%,15.0,0.36,71,32%,32.0,15.23,48,5%,5.0,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,BRCL 694,11/11,MR BCOL FRATELLO,,GOOD 92,57,"BRCL 694 11/11 MR BCOL FRATELLO GOOD 92 -0.74 26 10% 4.84 39 10% 3.44 47 16% 16.90 46 1% 0.66 61 4% 85 2 21.57 12 0,5%",-0.74,26,10%,10.0,4.84,39,10%,10.0,3.44,47,16%,16.0,16.9,46,1%,1.0,0.66,61,4%,4.0,21.57,12,"0,5%",0.5,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,NOG 2697,03/20,2697 DE NOGAL DEL RIO,G,WRRB 115,57,NOG 2697 03/20 2697 DE NOGAL DEL RIO G WRRB 115 -0.23 36 57% 0.29 50 58% 3.27 42 17% 12.90 44 6% 0.23 46 51% 24 1 13.80 36 7%,-0.23,36,57%,57.0,0.29,50,58%,58.0,3.27,42,17%,17.0,12.9,44,6%,6.0,0.23,46,51%,51.0,13.8,36,7%,7.0,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,UBER 783,10/11,MR UBER POI 783,G,UBER 153,57,UBER 783 10/11 MR UBER POI 783 G UBER 153 0.02 43 88% 0.38 48 57% 3.21 45 17% 4.65 39 66% 0.50 51 16% 11 2 12.49 39 10%,0.02,43,88%,88.0,0.38,48,57%,57.0,3.21,45,17%,17.0,4.65,39,66%,66.0,0.5,51,16%,16.0,12.49,39,10%,10.0,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,210813EE,09/21,210813 DE ESPIRITU,G,181228EE,57,210813EE 09/21 210813 DE ESPIRITU G 181228EE 0.05 35 92% 4.68 48 10% 3.17 44 17% 13.97 50 4% 0.57 47 10% 69 2 14.67 35 6%,0.05,35,92%,92.0,4.68,48,10%,10.0,3.17,44,17%,17.0,13.97,50,4%,4.0,0.57,47,10%,10.0,14.67,35,6%,6.0,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,UBER 461,10/09,MR UBER ARAGUAIA 461,G,UBER 153,57,UBER 461 10/09 MR UBER ARAGUAIA 461 G UBER 153 -0.46 54 30% 3.11 69 20% 3.02 73 18% 3.32 73 77% 0.28 81 44% 312 16 9.69 52 21%,-0.46,54,30%,30.0,3.11,69,20%,20.0,3.02,73,18%,18.0,3.32,73,77%,77.0,0.28,81,44%,44.0,9.69,52,21%,21.0,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,902044,03/11,JDH CLANTON DE,,MANSO 839863,57,"902044 03/11 JDH CLANTON DE MANSO 839863 -1.51 22 0,1% 4.47 51 11% 2.99 53 18% 15.99 71 2% 0.77 71 2% 123 7 13.00 17 9%",-1.51,22,"0,1%",0.1,4.47,51,11%,11.0,2.99,53,18%,18.0,15.99,71,2%,2.0,0.77,71,2%,2.0,13.0,17,9%,9.0,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,UBER 1506,12/15,MR UBER JATOBA 1506,G,UBER 783,57,UBER 1506 12/15 MR UBER JATOBA 1506 G UBER 783 0.21 37 98% 3.88 59 15% 2.70 62 20% 11.21 59 11% 0.35 71 33% 161 5 12.04 37 12%,0.21,37,98%,98.0,3.88,59,15%,15.0,2.7,62,20%,20.0,11.21,59,11%,11.0,0.35,71,33%,33.0,12.04,37,12%,12.0,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,210546EE,08/21,SANTO DE ESPIRITU,G,181228EE,57,210546EE 08/21 SANTO DE ESPIRITU G 181228EE 0.69 36 100% 3.70 39 16% 2.69 42 20% 16.28 50 2% 0.61 47 7% 20 2 15.42 36 4%,0.69,36,100%,100.0,3.7,39,16%,16.0,2.69,42,20%,20.0,16.28,50,2%,2.0,0.61,47,7%,7.0,15.42,36,4%,4.0,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,UBER 336,02/08,MR UBER POI 336,G,630321,57,UBER 336 02/08 MR UBER POI 336 G 630321 -0.89 43 5% 2.32 51 27% 2.68 48 20% 7.61 50 27% 0.76 51 2% 34 3 16.15 39 3%,-0.89,43,5%,5.0,2.32,51,27%,27.0,2.68,48,20%,20.0,7.61,50,27%,27.0,0.76,51,2%,2.0,16.15,39,3%,3.0,"IPP,P120,P210,P450,PE365,MGTe"
