breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,3Pdep,3Pac,3Ptop,3Ptop_pct,MP210dep,MP210ac,MP210top,MP210top_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,P210dep,P210ac,P210top,P210top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTe_CRdep,MGTe_CRac,MGTe_CRtop,MGTe_CRtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,JAPA 11059,12/21,11059 FIV JAPARANDUBA,G,RDM A99,16,"JAPA 11059 12/21 11059 FIV JAPARANDUBA G RDM A99 90.36 61 2% 11.13 50 0,1% 99.15 52 0,1% 14.21 67 9% 1.10 64 12% 34.95 51 0,5% 33.46 51 2%",90.36,61,2%,2.0,11.13,50,"0,1%",0.1,99.15,52,"0,1%",0.1,14.21,67,9%,9.0,1.1,64,12%,12.0,34.95,51,"0,5%",0.5,33.46,51,2%,2.0,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,RDM A4814,10/20,FALCAO MAT.,G,SINO 1647,16,"RDM A4814 10/20 FALCAO MAT. G SINO 1647 91.76 75 2% 5.47 42 9% 94.12 68 3% 21.65 66 1% 2.54 58 0,1% 34.89 42 0,5% 37.84 42 0,1%",91.76,75,2%,2.0,5.47,42,9%,9.0,94.12,68,3%,3.0,21.65,66,1%,1.0,2.54,58,"0,1%",0.1,34.89,42,"0,5%",0.5,37.84,42,"0,1%",0.1,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,RGM 7523,09/21,OTIMIZADO FIV RG,G,REMP 602,16,"RGM 7523 09/21 OTIMIZADO FIV RG G REMP 602 83.65 74 15% 7.27 45 3% 96.97 68 2% 19.03 63 3% 2.54 59 0,1% 34.73 47 0,5% 34.10 47 2%",83.65,74,15%,15.0,7.27,45,3%,3.0,96.97,68,2%,2.0,19.03,63,3%,3.0,2.54,59,"0,1%",0.1,34.73,47,"0,5%",0.5,34.1,47,2%,2.0,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,KAT 5463,11/21,NÃšCLEO FIV KATISPERA,G,KAT 4154,16,"KAT 5463 11/21 NÃšCLEO FIV KATISPERA G KAT 4154 88.49 71 4% 6.79 39 4% 92.96 68 3% 20.96 63 1% 1.78 56 3% 34.35 40 1% 35.21 40 0,5%",88.49,71,4%,4.0,6.79,39,4%,4.0,92.96,68,3%,3.0,20.96,63,1%,1.0,1.78,56,3%,3.0,34.35,40,1%,1.0,35.21,40,"0,5%",0.5,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,EPCF 5140,08/21,5140 FIV DA TERRA BRA,G,REMP 602,16,"EPCF 5140 08/21 5140 FIV DA TERRA BRA G REMP 602 81.61 73 23% 6.61 43 4% 94.79 69 3% 22.09 58 0,5% 2.54 57 0,1% 34.34 43 1% 34.67 43 1%",81.61,73,23%,23.0,6.61,43,4%,4.0,94.79,69,3%,3.0,22.09,58,"0,5%",0.5,2.54,57,"0,1%",0.1,34.34,43,1%,1.0,34.67,43,1%,1.0,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,EAO B4549,08/20,B4549 FIV DA EAO,G,LBMN D4685,16,"EAO B4549 08/20 B4549 FIV DA EAO G LBMN D4685 95.08 75 0,1% 12.92 51 0,1% 98.11 72 2% 10.33 78 21% 1.04 65 14% 34.23 51 1% 30.79 51 3%",95.08,75,"0,1%",0.1,12.92,51,"0,1%",0.1,98.11,72,2%,2.0,10.33,78,21%,21.0,1.04,65,14%,14.0,34.23,51,1%,1.0,30.79,51,3%,3.0,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,MCPJ 8878,10/22,XERIFE FIV JMP,G,REM 10447,16,"MCPJ 8878 10/22 XERIFE FIV JMP G REM 10447 91.13 52 2% 6.63 51 4% 91.97 44 4% 21.65 66 1% 1.65 64 4% 34.23 44 1% 36.67 44 0,1%",91.13,52,2%,2.0,6.63,51,4%,4.0,91.97,44,4%,4.0,21.65,66,1%,1.0,1.65,64,4%,4.0,34.23,44,1%,1.0,36.67,44,"0,1%",0.1,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,EAO B7558,09/21,B7558 FIV DA EAO,G,REM A1936,16,EAO B7558 09/21 B7558 FIV DA EAO G REM A1936 92.65 63 1% 6.85 49 4% 94.63 54 3% 19.82 69 2% 1.74 64 3% 34.04 50 1% 33.20 50 2%,92.65,63,1%,1.0,6.85,49,4%,4.0,94.63,54,3%,3.0,19.82,69,2%,2.0,1.74,64,3%,3.0,34.04,50,1%,1.0,33.2,50,2%,2.0,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,GRI C585,02/20,CASSINO FIV DA S.NICE,G,LBMN D4685,16,"GRI C585 02/20 CASSINO FIV DA S.NICE G LBMN D4685 85.54 85 10% 11.17 46 0,1% 98.34 84 2% 12.81 86 13% 0.94 84 16% 33.99 47 1% 32.44 47 2%",85.54,85,10%,10.0,11.17,46,"0,1%",0.1,98.34,84,2%,2.0,12.81,86,13%,13.0,0.94,84,16%,16.0,33.99,47,1%,1.0,32.44,47,2%,2.0,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,SINO 3015,03/22,IRMAO SINO,G,SINO 1730,16,"SINO 3015 03/22 IRMAO SINO G SINO 1730 81.60 72 23% 6.76 46 4% 84.23 68 10% 26.65 63 0,1% 1.25 59 9% 33.94 45 1% 38.98 45 0,1%",81.6,72,23%,23.0,6.76,46,4%,4.0,84.23,68,10%,10.0,26.65,63,"0,1%",0.1,1.25,59,9%,9.0,33.94,45,1%,1.0,38.98,45,"0,1%",0.1,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
