breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,MP120dep,MP120ac,MP120top,MP120top_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Guzerá,HQB 2904,05/09,MARCA SOL,,MAGNUM 5735,41,HQB 2904 05/09 MARCA SOL MAGNUM 5735 -0.68 32 3% 1.83 30 8% 77.98 46 2% 15.10 15 5% 2.98 73 3% 122 2 29.64 15 2%,-0.68,32,3%,3.0,1.83,30,8%,8.0,77.98,46,2%,2.0,15.1,15,5%,5.0,2.98,73,3%,3.0,29.64,15,2%,2.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,CNS 7222,09/06,ANJO S,G,CNS 5827,41,CNS 7222 09/06 ANJO S G CNS 5827 -0.16 38 31% 0.95 46 29% 66.25 59 29% 13.27 54 9% 2.86 80 4% 149 9 27.80 38 3%,-0.16,38,31%,31.0,0.95,46,29%,29.0,66.25,59,29%,29.0,13.27,54,9%,9.0,2.86,80,4%,4.0,27.8,38,3%,3.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,FNF A753,03/10,HAMAL NF,G,TABO 866,41,FNF A753 03/10 HAMAL NF G TABO 866 -0.57 45 5% 2.57 39 2% 74.09 38 5% 4.09 39 49% 2.81 60 4% 34 1 27.15 38 4%,-0.57,45,5%,5.0,2.57,39,2%,2.0,74.09,38,5%,5.0,4.09,39,49%,49.0,2.81,60,4%,4.0,27.15,38,4%,4.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,LKW 1058,04/16,QUIMICO FIV BOA LEMBR,G,MAPZ 382,41,LKW 1058 04/16 QUIMICO FIV BOA LEMBR G MAPZ 382 0.27 45 93% -0.06 51 80% 70.72 51 13% 5.44 50 41% 2.80 57 4% 28 1 16.69 39 30%,0.27,45,93%,93.0,-0.06,51,80%,80.0,70.72,51,13%,13.0,5.44,50,41%,41.0,2.8,57,4%,4.0,16.69,39,30%,30.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,HQB 6864,08/17,MARCA SOL VULCANO,G,CNS 6391,41,HQB 6864 08/17 MARCA SOL VULCANO G CNS 6391 -0.44 40 10% 2.48 41 2% 79.23 49 1% 6.58 45 31% 2.77 66 4% 45 3 24.54 40 8%,-0.44,40,10%,10.0,2.48,41,2%,2.0,79.23,49,1%,1.0,6.58,45,31%,31.0,2.77,66,4%,4.0,24.54,40,8%,8.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,FMN 1126,11/09,LEVIS DA,,SUACUI 4900,41,FMN 1126 11/09 LEVIS DA SUACUI 4900 -0.17 12 30% -1.38 20 100% 61.97 14 74% 14.59 21 6% 2.73 49 5% 9 3 26.12 12 5%,-0.17,12,30%,30.0,-1.38,20,100%,100.0,61.97,14,74%,74.0,14.59,21,6%,6.0,2.73,49,5%,5.0,26.12,12,5%,5.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,OJA 134,08/10,IOIO OJ,G,ROES 84,41,"OJA 134 08/10 IOIO OJ G ROES 84 -0.93 41 0,5% -2.27 39 100% 79.11 53 1% 4.52 66 47% 2.69 87 5% 312 10 25.67 39 6%",-0.93,41,"0,5%",0.5,-2.27,39,100%,100.0,79.11,53,1%,1.0,4.52,66,47%,47.0,2.69,87,5%,5.0,25.67,39,6%,6.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,FNF A471,11/09,GRAFICO FIV NF,G,MVB 20,41,FNF A471 11/09 GRAFICO FIV NF G MVB 20 -0.08 31 42% 2.79 47 1% 77.03 48 2% 16.70 47 3% 2.45 78 9% 110 1 29.98 31 2%,-0.08,31,42%,42.0,2.79,47,1%,1.0,77.03,48,2%,2.0,16.7,47,3%,3.0,2.45,78,9%,9.0,29.98,31,2%,2.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,ITVT 233,05/13,MESTRE TE ITAT,G,CNS 4995,41,ITVT 233 05/13 MESTRE TE ITAT G CNS 4995 -0.26 40 22% 2.12 40 4% 75.67 47 4% 1.42 52 68% 2.43 79 9% 129 2 21.37 40 16%,-0.26,40,22%,22.0,2.12,40,4%,4.0,75.67,47,4%,4.0,1.42,52,68%,68.0,2.43,79,9%,9.0,21.37,40,16%,16.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,HEMC 358,05/13,FOCUS DA HE,G,RPOG 94,41,HEMC 358 05/13 FOCUS DA HE G RPOG 94 -0.23 38 25% -0.48 50 97% 66.15 45 30% 14.27 52 7% 2.38 79 10% 156 2 24.90 38 7%,-0.23,38,25%,25.0,-0.48,50,97%,97.0,66.15,45,30%,30.0,14.27,52,7%,7.0,2.38,79,10%,10.0,24.9,38,7%,7.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,ICIL 867,08/16,QUARTEL FIV DA ICIL,G,NESZ 776,41,ICIL 867 08/16 QUARTEL FIV DA ICIL G NESZ 776 -0.10 37 39% 1.26 42 20% 70.73 40 13% 17.41 48 3% 2.37 56 11% 31 4 27.69 37 3%,-0.1,37,39%,39.0,1.26,42,20%,20.0,70.73,40,13%,13.0,17.41,48,3%,3.0,2.37,56,11%,11.0,27.69,37,3%,3.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,VAR 1576,08/09,PACIFICO VAR,,CNS 4995,41,VAR 1576 08/09 PACIFICO VAR CNS 4995 -0.12 9 36% 1.94 19 6% 65.18 17 38% 16.74 16 3% 2.23 48 14% 17 1 23.30 9 11%,-0.12,9,36%,36.0,1.94,19,6%,6.0,65.18,17,38%,38.0,16.74,16,3%,3.0,2.23,48,14%,14.0,23.3,9,11%,11.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,FNF A960,06/10,HIDRANTE FIV NF,G,A2687,41,FNF A960 06/10 HIDRANTE FIV NF G A2687 -0.34 34 16% 2.73 46 1% 68.32 47 22% 1.79 42 65% 2.17 70 15% 67 1 15.82 34 33%,-0.34,34,16%,16.0,2.73,46,1%,1.0,68.32,47,22%,22.0,1.79,42,65%,65.0,2.17,70,15%,15.0,15.82,34,33%,33.0,"IPP,MP120,STAY,P450,PE365,MGTe"
