breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,3Pdep,3Pac,3Ptop,3Ptop_pct,MP120dep,MP120ac,MP120top,MP120top_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,EAO B7222,08/21,B7222 FIV DA EAO (EXE,G,REM A1936,23,"EAO B7222 08/21 B7222 FIV DA EAO (EXE G REM A1936 -1.24 45 3% 99.17 72 0,1% 3.83 49 8% 30.76 73 4% 2.25 73 0,5% 293 43 35.38 49 0,5%",-1.24,45,3%,3.0,99.17,72,"0,1%",0.1,3.83,49,8%,8.0,30.76,73,4%,4.0,2.25,73,"0,5%",0.5,35.38,49,"0,5%",0.5,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,ANP 1081,10/21,CORINGA DA ANP,G,REMP 816,23,"ANP 1081 10/21 CORINGA DA ANP G REMP 816 -0.74 40 34% 84.31 74 13% 1.33 45 49% 35.48 70 2% 2.24 61 0,5% 137 22 31.11 45 3%",-0.74,40,34%,34.0,84.31,74,13%,13.0,1.33,45,49%,49.0,35.48,70,2%,2.0,2.24,61,"0,5%",0.5,31.11,45,3%,3.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,RDM A6179,08/21,GALLO MAT.,G,REMP 602,23,"RDM A6179 08/21 GALLO MAT. G REMP 602 -1.13 42 5% 86.23 74 8% 8.01 45 0,1% 36.01 69 2% 2.23 62 0,5% 64 12 35.45 45 0,5%",-1.13,42,5%,5.0,86.23,74,8%,8.0,8.01,45,"0,1%",0.1,36.01,69,2%,2.0,2.23,62,"0,5%",0.5,35.45,45,"0,5%",0.5,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,FANO 2879,08/20,ELOQUENDE DA AGRONOVA,G,BONS 3108,23,"FANO 2879 08/20 ELOQUENDE DA AGRONOVA G BONS 3108 -0.75 48 32% 75.08 84 53% 5.22 52 2% 29.02 83 6% 2.18 75 0,5% 172 19 31.92 52 3%",-0.75,48,32%,32.0,75.08,84,53%,53.0,5.22,52,2%,2.0,29.02,83,6%,6.0,2.18,75,"0,5%",0.5,31.92,52,3%,3.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,REMP 816,10/18,REM HERMOSO FIV GEN A,G,REM A7,23,"REMP 816 10/18 REM HERMOSO FIV GEN A G REM A7 -0.94 84 15% 92.23 91 1% 1.75 83 36% 34.65 98 2% 2.17 97 0,5% 5215 232 29.42 81 5%",-0.94,84,15%,15.0,92.23,91,1%,1.0,1.75,83,36%,36.0,34.65,98,2%,2.0,2.17,97,"0,5%",0.5,29.42,81,5%,5.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,CVCV 26799,09/20,GENOVES DE CV,G,CVCV 21545,23,"CVCV 26799 09/20 GENOVES DE CV G CVCV 21545 -1.24 35 3% 84.70 74 12% 4.98 38 3% 25.13 83 10% 2.15 73 0,5% 169 11 29.03 38 5%",-1.24,35,3%,3.0,84.7,74,12%,12.0,4.98,38,3%,3.0,25.13,83,10%,10.0,2.15,73,"0,5%",0.5,29.03,38,5%,5.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,GRI C1361,10/20,EFETIVO DA S.NICE,G,REM A1936,23,"GRI C1361 10/20 EFETIVO DA S.NICE G REM A1936 -0.92 47 17% 84.20 76 13% 1.73 49 37% 19.90 75 19% 2.15 68 0,5% 70 8 22.22 49 14%",-0.92,47,17%,17.0,84.2,76,13%,13.0,1.73,49,37%,37.0,19.9,75,19%,19.0,2.15,68,"0,5%",0.5,22.22,49,14%,14.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,GRI C3319,12/21,DESTEMIDO DA S.NICE,G,REM A1936,23,GRI C3319 12/21 DESTEMIDO DA S.NICE G REM A1936 -0.92 43 17% 89.32 76 3% 1.94 47 32% 34.11 70 2% 2.14 61 1% 57 9 31.79 47 3%,-0.92,43,17%,17.0,89.32,76,3%,3.0,1.94,47,32%,32.0,34.11,70,2%,2.0,2.14,61,1%,1.0,31.79,47,3%,3.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,KAT 4137,10/19,LEND̥RIO FIV KATISPE,G,BONS 3108,23,KAT 4137 10/19 LEND̥RIO FIV KATISPE G BONS 3108 -0.91 56 18% 81.94 86 21% 3.93 54 7% 26.89 95 8% 2.10 86 1% 677 55 27.68 54 6%,-0.91,56,18%,18.0,81.94,86,21%,21.0,3.93,54,7%,7.0,26.89,95,8%,8.0,2.1,86,1%,1.0,27.68,54,6%,6.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,RDM A7389,07/22,HANDI MAT.,G,REMP 816,23,RDM A7389 07/22 HANDI MAT. G REMP 816 -0.96 46 14% 86.08 46 8% 6.19 48 1% 33.15 69 3% 2.10 62 1% 49 7 30.12 37 4%,-0.96,46,14%,14.0,86.08,46,8%,8.0,6.19,48,1%,1.0,33.15,69,3%,3.0,2.1,62,1%,1.0,30.12,37,4%,4.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,EAO B7556,09/21,ELITE DA EAO,G,REM A1936,23,EAO B7556 09/21 ELITE DA EAO G REM A1936 -0.97 45 13% 87.25 74 6% 5.81 47 1% 29.83 80 5% 2.07 70 1% 236 14 33.08 47 2%,-0.97,45,13%,13.0,87.25,74,6%,6.0,5.81,47,1%,1.0,29.83,80,5%,5.0,2.07,70,1%,1.0,33.08,47,2%,2.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,EAO B7502,09/21,ELO FIV DA EAO (B7502,G,REM A1936,23,EAO B7502 09/21 ELO FIV DA EAO (B7502 G REM A1936 -1.32 45 2% 84.68 71 12% 3.92 47 7% 33.91 69 2% 2.07 61 1% 69 9 33.15 47 2%,-1.32,45,2%,2.0,84.68,71,12%,12.0,3.92,47,7%,7.0,33.91,69,2%,2.0,2.07,61,1%,1.0,33.15,47,2%,2.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,MNS 10242,09/19,TEXAS DA ALO BRASIL,G,REMC A923,23,MNS 10242 09/19 TEXAS DA ALO BRASIL G REMC A923 -0.96 48 14% 80.29 85 29% 1.95 50 31% 32.65 82 3% 2.05 73 1% 59 9 30.31 50 4%,-0.96,48,14%,14.0,80.29,85,29%,29.0,1.95,50,31%,31.0,32.65,82,3%,3.0,2.05,73,1%,1.0,30.31,50,4%,4.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,REM 10899,09/19,REM IMPACTO GEN. ADT,G,REM A563,23,"REM 10899 09/19 REM IMPACTO GEN. ADT G REM A563 -1.00 56 11% 79.00 87 35% 7.05 54 0,1% 24.31 92 12% 2.04 86 1% 314 34 28.74 54 5%",-1.0,56,11%,11.0,79.0,87,35%,35.0,7.05,54,"0,1%",0.1,24.31,92,12%,12.0,2.04,86,1%,1.0,28.74,54,5%,5.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,EAO B8522,11/21,EMBLEMA FIV DA EAO,G,REM A7,23,"EAO B8522 11/21 EMBLEMA FIV DA EAO G REM A7 -1.52 46 0,1% 95.41 73 0,1% 6.03 51 1% 29.73 71 5% 2.03 64 1% 105 16 34.73 51 1%",-1.52,46,"0,1%",0.1,95.41,73,"0,1%",0.1,6.03,51,1%,1.0,29.73,71,5%,5.0,2.03,64,1%,1.0,34.73,51,1%,1.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,GRI B8437,10/18,B8437 FIV DA S.NICE,G,REM A7,23,GRI B8437 10/18 B8437 FIV DA S.NICE G REM A7 -1.13 51 5% 85.52 84 10% 2.98 52 15% 29.31 88 6% 2.02 86 1% 202 18 30.04 52 4%,-1.13,51,5%,5.0,85.52,84,10%,10.0,2.98,52,15%,15.0,29.31,88,6%,6.0,2.02,86,1%,1.0,30.04,52,4%,4.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,BONS 4183,12/20,ATACAMA BONS,G,BONS 3108,23,BONS 4183 12/20 ATACAMA BONS G BONS 3108 -0.29 40 85% 75.83 72 50% 2.39 42 23% 32.27 83 3% 2.00 77 1% 158 24 26.04 42 8%,-0.29,40,85%,85.0,75.83,72,50%,50.0,2.39,42,23%,23.0,32.27,83,3%,3.0,2.0,77,1%,1.0,26.04,42,8%,8.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,KPA 12,09/20,QUAZAR KA,G,RDM A99,23,KPA 12 09/20 QUAZAR KA G RDM A99 -0.69 41 39% 86.50 73 7% 4.16 43 6% 38.44 85 1% 2.00 76 1% 468 18 34.65 43 1%,-0.69,41,39%,39.0,86.5,73,7%,7.0,4.16,43,6%,6.0,38.44,85,1%,1.0,2.0,76,1%,1.0,34.65,43,1%,1.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,FANO 2560,12/19,DRUIDO DA AGRONOVA,G,FANO 1509,23,FANO 2560 12/19 DRUIDO DA AGRONOVA G FANO 1509 -0.83 58 25% 89.23 87 3% 1.69 55 38% 34.71 93 2% 1.94 86 2% 810 72 30.97 55 3%,-0.83,58,25%,25.0,89.23,87,3%,3.0,1.69,55,38%,38.0,34.71,93,2%,2.0,1.94,86,2%,2.0,30.97,55,3%,3.0,"IPP,3P,MP120,P450,PE365,MGTe"
Nelore,EAO B4556,08/20,DOMINATOR FIV EAO,G,LBMN D4685,23,"EAO B4556 08/20 DOMINATOR FIV EAO G LBMN D4685 -1.58 45 0,1% 86.57 74 7% 6.75 50 0,5% 25.21 74 10% 1.94 63 2% 96 20 30.80 50 3%",-1.58,45,"0,1%",0.1,86.57,74,7%,7.0,6.75,50,"0,5%",0.5,25.21,74,10%,10.0,1.94,63,2%,2.0,30.8,50,3%,3.0,"IPP,3P,MP120,P450,PE365,MGTe"
