breed,animal_id,birth_month_year,animal_name,sex,sire,source_pages,source_page_count,3Pac,3Pdep,3Ptop_pct,ACABac,ACABdep,ACABtop_pct,AOLac,AOLdep,AOLtop_pct,CARac,CARdep,CARtop_pct,IMSac,IMSdep,IMStop_pct,IPPac,IPPdep,IPPtop_pct,MARac,MARdep,MARtop_pct,MGTe_COac,MGTe_COdep,MGTe_COtop_pct,MGTe_CRac,MGTe_CRdep,MGTe_CRtop_pct,MGTe_F1ac,MGTe_F1dep,MGTe_F1top_pct,MGTe_REac,MGTe_REdep,MGTe_REtop_pct,MGTeac,MGTedep,MGTetop_pct,MP120ac,MP120dep,MP120top_pct,MP210ac,MP210dep,MP210top_pct,P120ac,P120dep,P120top_pct,P210ac,P210dep,P210top_pct,P365ac,P365dep,P365top_pct,P450ac,P450dep,P450top_pct,PACac,PACdep,PACtop_pct,PE365ac,PE365dep,PE365top_pct,STAYac,STAYdep,STAYtop_pct
Nelore,PAU 6821,07/25,VERGALHÃƒO FIV DA PAU,G,PAU 6018,30,1,,,,42,0.04,51,43,4.75,4,38,-0.33,0.1,47,-0.179,20,,,,,,,,,,,,,,,,,,,39,36.22,0.1,,,,,,,,,,,,,,,,53,41.45,0.1,,,,,,,,,
Nelore,GREN A8787,12/17,SUPREMO DA GREN,G,LBMN D4685,30,1,,,,67,0.58,7,70,1.13,36,38,-0.33,0.1,42,-0.53,0.1,,,,,,,,,,,,,,,,,,,57,23.22,13,,,,,,,,,,,,,,,,87,18.12,23,,,,,,,,,
Nelore,MBO A1710,09/20,A1710 DE MARIPA,G,MBO 5586,30,1,,,,55,0.34,14,57,1.27,34,50,-0.321,0.1,30,-0.442,0.1,,,,,,,,,,,,,,,,,,,40,14.5,32,,,,,,,,,,,,,,,,63,12.25,39,,,,,,,,,
Nelore,FANO 4975,08/23,IPORA DA AGRONOVA,G,FANO 2762,30,1,,,,64,0.59,7,66,4.9,3,49,-0.32,0.1,54,-0.241,5,,,,,,,,,,,,,,,,,,,45,31.72,3,,,,,,,,,,,,,,,,69,33.79,3,,,,,,,,,
Nelore,JNM 6339,02/23,FIGO FIV URUCU,G,RDM A1335,30,1,,,,63,0.67,5,65,4.56,4,42,-0.32,0.1,45,-0.152,33,,,,,,,,,,,,,,,,,,,48,29.03,5,,,,,,,,,,,,,,,,70,31.28,4,,,,,,,,,
Nelore,FANO 4995,08/23,INSANO DA AGRONOVA,G,FANO 2762,30,1,,,,64,0.67,5,64,5.2,2,49,-0.31,0.1,54,-0.229,6,,,,,,,,,,,,,,,,,,,44,35.98,0.5,,,,,,,,,,,,,,,,67,33.73,3,,,,,,,,,
Nelore,FANO 3341,12/20,ESPECIME DA AGRONOVA,G,COL 25550,30,1,,,,60,0.19,22,62,2.94,14,44,-0.31,0.1,48,-0.34,0.5,,,,,,,,,,,,,,,,,,,42,27.27,7,,,,,,,,,,,,,,,,63,29.16,6,,,,,,,,,
Nelore,MMVA 5037,08/21,5037 FIV DA JACAMIM,G,MMVA 2674,30,1,,,,63,0.45,10,31,1.9,25,34,-0.31,0.1,38,-0.37,0.1,,,,,,,,,,,,,,,,,,,31,25.61,9,,,,,,,,,,,,,,,,66,22.68,14,,,,,,,,,
Nelore,RDM A4694,09/20,A4694 MAT.,G,RDM 9990,30,1,,,,63,0.42,11,66,3.72,8,43,-0.309,0.1,48,-0.253,4,,,,,,,,,,,,,,,,,,,47,25.35,9,,,,,,,,,,,,,,,,69,26,9,,,,,,,,,
Nelore,MFBN 6122,10/18,QUIARO G.SALES,G,LBMN D4685,30,1,,,,59,0.57,7,59,1.89,25,32,-0.307,0.1,35,-0.46,0.1,,,,,,,,,,,,,,,,,,,45,17.42,24,,,,,,,,,,,,,,,,65,12.11,40,,,,,,,,,
